highway,mean_dtv
living_street,5457.2131147541
motorway_1,16110
motorway_2,22800
motorway_3,44625.4545454545
motorway_4,63882.9411764706
motorway_link,9320
motorway_link_1,6792.85714285714
motorway_link_2,9583.20512820513
motorway_link_3,16038
primary,31500
primary_1,19423.5
primary_2,23631.0429447853
primary_3,33939.3604651163
primary_4,30961.9565217391
primary_5,42120
primary_link,16177.5
residential,5457.2131147541
residential_1,11692.5
residential_2,6343.08510638298
residential_3,7032
residential_4,6240
secondary,9364
secondary_1,13012.4427480916
secondary_2,15136.0342368046
secondary_3,20997.0325203252
secondary_4,20180.0943396226
secondary_5,22991.25
secondary_link,12530
tertiary,6671.88720173536
tertiary_1,8661.60377358491
tertiary_2,7831.76528599606
tertiary_3,10994.2647058824
tertiary_4,9645.38461538462
tertiary_5,15340
trunk,16202.2222222222
unclassified,4600.83333333333
unclassified_1,10735
unclassified_2,5893.69565217391
unclassified_3,9400
